id,INJ_SEV,RATWGT
6,0,265.23
10,0,238.98
26,0,238.98
30,0,238.98
33,0,168.6
36,0,168.6
39,1,159.45
42,0,168.6
44,1,151.27
48,0,265.23
50,1,377.87
62,2,178.4
66,0,238.98
70,0,170.65
77,0,238.98
82,0,238.98
88,3,26.91
89,0,235.2
91,0,168.6
92,0,168.6
98,0,168.6
100,0,168.6
101,2,28.25
106,0,235.2
110,0,235.2
117,0,168.6
122,0,146.09
133,1,73.47
137,0,132.19
142,0,238.98
145,0,170.65
165,0,235.2
173,4,36.67
202,0,265.23
203,0,265.23
210,1,76.42
215,0,190.7
225,1,65.24
227,1,65.24
232,0,170.91
233,4,31.23
234,0,239.81
238,0,170.91
243,0,187.19
250,0,134.17
254,0,170.65
265,1,159.55
266,1,68.14
270,0,167.06
275,0,234.88
281,1,74.12
282,0,234.88
286,0,234.88
290,0,234.88
292,0,234.88
298,0,239.54
299,2,160.41
305,0,167.34
308,3,29.71
313,0,167.34
323,0,187.19
324,3,30.66
328,0,229.59
339,0,586.07
343,0,131.68
353,1,159.35
357,0,132.19
360,0,238.98
362,0,170.65
363,3,27.53
364,0,238.98
365,1,68.39
367,0,235.2
369,3,27.3
370,0,235.2
376,1,67.78
379,0,168.6
399,0,233.22
400,0,187.19
410,2,161.23
412,3,13.24
414,1,37.4
415,2,33.44
418,0,233.22
422,0,233.22
426,1,157.29
435,0,168.39
437,0,132.46
441,2,157.29
444,3,19.93
449,4,36.74
454,3,27.35
461,0,239.71
465,2,157.29
472,0,239.71
483,3,27.35
484,4,37.82
487,3,47.64
492,2,161.23
496,3,47.64
505,1,195.21
506,0,167.06
517,0,190.7
520,0,238.16
528,0,240.77
540,0,239.71
543,0,238.16
544,3,47.64
552,0,256.85
553,0,130.57
562,3,47.64
564,1,33.25
567,0,239.71
571,0,229.59
591,4,41.28
593,0,246.46
595,0,172.15
606,1,157.3
608,0,235.03
624,0,211.51
630,0,187.19
632,0,170.65
636,3,27.53
645,1,159.35
663,2,159.45
666,0,168.6
669,2,67.78
674,0,235.2
676,0,235.2
678,0,168.6
680,0,170.91
683,0,166.36
697,1,154.5
702,0,230.92
707,0,164.5
711,0,164.5
712,0,230.92
721,0,164.5
731,0,164.5
742,0,229.1
748,0,229.1
762,0,164.32
763,3,26.95
771,0,230.8
774,0,164.32
785,0,235.03
789,0,168.78
790,2,37.17
793,0,233.98
795,2,160.22
797,0,238.55
807,0,182.8
808,1,171.49
812,2,157.3
818,2,66.24
821,3,27.35
824,0,164.32
838,3,27.35
840,1,73.47
855,1,159.55
863,0,170.65
870,0,228.31
873,0,239.71
874,0,230.59
879,0,170.65
880,0,165.94
884,1,31.29
887,0,230.8
902,0,135.38
908,0,190.7
910,2,37.18
912,3,15.06
917,0,230.8
919,2,29.47
921,0,230.8
933,1,171.49
934,0,170.65
936,2,32.84
937,0,182.8
939,0,232.69
948,2,132.46
950,0,168.39
952,1,171.49
953,0,256.85
962,3,26.95
964,1,68.14
969,1,68.14
985,0,131.7
991,0,167.06
993,0,239.54
995,0,146.09
997,0,265.23
998,1,34.19
999,2,153.36
1010,2,29.86
1014,0,239.81
1017,0,229.59
1021,3,13.43
1022,0,167.77
1023,0,255.63
1045,1,159.55
1050,0,180.94
1053,0,238.16
1058,0,239.71
1062,0,187.19
1063,0,190.7
1065,0,164.32
1082,1,50.35
1083,0,180.94
1088,1,70.2
1089,0,170.86
1093,1,159.55
1096,0,170.65
1099,3,26.85
1102,1,462.43
1117,3,27.53
1119,2,30.02
1127,0,170.65
1129,1,68.39
1130,0,132.19
1131,0,238.98
1132,3,30.02
1134,0,168.6
1144,0,168.6
1150,3,27.3
1159,0,235.2
1167,2,30.43
1169,0,170.65
1170,0,171.55
1175,0,238.55
1184,0,170.65
1189,0,134.16
1194,2,157.3
1201,3,47.64
1211,0,238.16
1217,1,153.02
1222,0,170.91
1223,0,170.91
1224,1,134.15
1225,0,170.91
1226,0,170.91
1242,0,134.08
1249,0,181.43
1259,2,160.0
1264,0,135.38
1266,0,135.38
1267,1,88.94
1278,0,149.79
1283,0,239.51
1286,0,170.35
1293,0,164.32
1298,1,32.84
1313,1,172.33
1320,0,233.98
1325,0,239.71
1326,1,68.14
1334,0,170.97
1341,0,170.91
1344,1,161.74
1346,0,239.81
1348,2,29.86
1350,0,239.81
1359,1,237.67
1367,0,190.7
1369,2,178.4
1377,1,159.67
1378,0,170.65
1381,1,68.14
1386,0,135.78
1388,1,68.23
1389,2,29.91
1390,1,160.22
1399,0,230.8
1402,0,169.96
1405,0,154.7
1408,1,94.91
1411,0,169.96
1422,0,232.51
1438,2,68.24
1440,0,182.8
1441,0,143.99
1450,1,159.55
1454,1,82.62
1457,1,67.86
1465,0,170.91
1467,0,239.81
1477,0,181.92
1482,2,30.94
1486,1,159.67
1488,0,239.71
1504,0,239.51
1506,1,157.3
1511,0,142.01
1514,0,232.69
1521,0,239.81
1522,3,14.07
1524,0,170.91
1527,0,170.91
1532,1,160.0
1533,0,237.79
1535,0,161.09
1539,2,172.33
1540,2,29.88
1545,1,83.85
1547,1,30.43
1551,0,149.79
1560,0,170.65
1564,3,28.68
1567,2,32.44
1570,0,257.7
1572,0,181.92
1578,0,170.35
1579,2,97.51
1581,1,91.51
1585,0,240.77
1587,1,65.24
1594,2,68.24
1598,0,242.63
1600,0,170.65
1605,1,68.14
1609,0,170.91
1610,0,239.81
1623,0,151.27
1624,4,39.65
1625,0,149.79
1627,2,72.55
1633,0,170.65
1639,0,170.65
1645,3,27.53
1648,0,170.65
1652,1,67.78
1659,2,67.78
1675,0,168.6
1679,0,168.6
1681,0,235.2
1683,3,27.3
1699,2,68.23
1700,0,170.65
1702,0,166.36
1705,1,68.14
1715,0,170.35
1724,0,239.71
1725,3,26.85
1737,0,233.28
1738,0,132.19
1743,3,107.11
1747,2,156.65
1748,0,225.04
1751,2,68.14
1758,0,237.79
1765,0,170.35
1777,3,27.31
1781,0,166.36
1785,0,168.39
1793,0,234.88
1795,0,234.88
1796,0,167.06
1809,1,76.42
1811,1,76.42
1834,1,157.29
1836,2,157.29
1850,0,234.88
1853,3,30.66
1859,0,170.54
1861,1,72.55
1864,0,181.92
1871,1,172.33
1873,3,28.15
1876,0,181.92
1879,0,239.71
1884,3,26.95
1885,3,29.06
1890,0,230.8
1894,2,66.98
1898,0,340.91
1902,0,239.51
1906,0,170.91
1908,0,239.81
1909,0,239.81
