id,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_payment_next_month
1,50000,2,1,2,29,-1,5,4,-1,0,0,24738,23785,37483,19074,24660,17195,11095,7701,2103,19074,9129,4468,0
2,20000,1,1,2,53,1,0,0,-1,-1,2,5780,6715,4693,10934,8312,7858,710,1940,1442,2546,2213,1977,0
3,30000,2,2,2,21,-1,-1,-1,4,-1,3,10444,10867,6475,13427,13199,8878,10444,2213,2986,5935,7822,2844,1
4,50000,2,2,1,48,8,6,5,-1,-1,8,11182,25563,37862,23500,30824,34820,2343,6401,9955,23500,9598,15293,0
6,10000,1,2,1,62,-1,-1,-1,1,-1,0,2033,3177,4851,2363,5012,7893,629,3177,4851,795,1506,900,0
7,80000,1,2,1,22,0,-1,-1,8,-1,-1,42134,32810,57190,20196,19045,30156,18789,6080,18112,10776,5354,11018,0
8,30000,2,2,2,56,6,-1,-1,0,-1,-2,16115,5948,10668,7325,21724,11230,16115,2592,2509,1706,21724,4832,0
9,100000,1,2,1,31,-1,-1,-1,-1,0,-1,60062,49716,32835,44633,75125,43948,11548,16209,21127,24299,24027,5167,0
10,100000,1,1,2,23,-1,4,-2,5,1,-1,41518,32247,28453,67601,31606,24526,20105,3770,28453,14460,31606,24526,0
11,50000,2,4,2,53,2,0,8,-1,2,-1,16051,20220,23077,29430,20882,17125,5071,12099,8407,29430,6691,8646,0
12,30000,2,1,2,58,1,5,0,4,6,-1,15981,7903,13954,16124,7243,13590,15981,2951,2773,5859,2967,13590,1
14,20000,2,2,2,51,-1,-1,-1,-1,-1,5,7484,15913,9440,5965,9554,13151,3285,2736,1309,2181,3529,3020,0
16,30000,2,1,2,31,0,1,6,6,-1,2,12548,14790,2339,12827,13232,4194,4755,9339,1407,3990,3950,1083,0
18,20000,1,0,1,52,0,1,-1,1,-2,6,8691,17690,11581,9198,14074,6668,3537,5565,1696,9198,6097,1347,0
19,10000,1,3,2,68,-1,8,0,-1,-1,-2,8539,3438,9942,3790,5344,3841,1057,1461,1904,986,427,1282,0
