id,monthly_rent
7,18500
15,25000
17,12000
24,12000
30,10000
50,28000
51,28000
54,7000
56,30000
60,33000
62,19000
65,50000
72,22000
84,25000
91,6500
103,20000
124,35000
126,30000
127,8500
129,16000
133,8500
143,10000
147,12000
148,26000
150,12000
159,50000
160,14000
164,10000
165,18000
176,11500
187,35000
190,13000
191,30000
195,50000
198,21000
199,85000
200,9000
203,10000
208,20000
209,10500
211,35000
218,15500
224,23000
225,45000
230,14000
235,7000
254,27000
258,45000
259,6000
265,22000
266,16000
286,6000
292,80000
299,45000
300,24000
304,36000
305,7500
306,85000
319,15000
331,21000
339,24000
342,19700
344,22000
346,8500
349,25000
350,11500
352,25000
353,16500
355,13000
363,39000
376,26500
377,17000
379,10000
390,53000
394,14000
407,35000
411,14000
413,25000
414,45000
416,35000
420,13500
426,28000
431,14500
434,150000
435,18000
451,21000
452,6500
462,25000
467,28000
468,26000
476,30000
479,9000
480,30000
481,21000
483,29000
493,10000
499,33000
506,44400
508,66000
515,26000
520,21000
524,30000
531,12000
543,10110
547,35000
549,14000
552,10000
554,33000
559,40000
566,17000
568,10000
591,11000
594,75000
596,13000
598,32000
605,27000
607,25000
616,17000
621,30000
626,20000
629,23000
631,9500
637,150000
648,14000
649,16000
650,16000
651,14000
652,40000
661,10000
668,45000
676,12500
685,50000
688,15000
690,14000
691,12000
693,18000
698,35000
701,17000
703,50000
709,45000
721,32000
726,13500
732,90000
740,19000
741,40000
752,14000
756,18000
761,14000
764,14000
765,20000
780,45000
783,12000
784,42000
789,10000
791,26500
796,90000
798,18000
801,13900
815,33000
819,41000
826,46000
830,25000
831,10000
837,8000
840,12000
844,12000
846,20000
847,20000
852,8000
853,48000
857,65000
863,16000
886,27000
896,25000
901,11000
905,65000
913,75000
917,20000
919,14500
923,16000
924,12000
925,60000
931,12000
954,33000
955,18000
956,44000
957,13000
958,12000
964,21000
966,28000
968,20000
970,25000
972,26000
984,12000
993,28000
997,15000
1004,18000
1011,40000
1014,10999
1015,13000
1023,12000
1026,25000
1027,8000
1029,30000
1032,55000
1052,21000
1060,13000
1064,32000
1065,85000
1067,110000
1069,11000
1074,16500
1080,48000
1081,20000
1084,7000
1098,18000
1104,30000
1112,85000
1120,13000
1134,7500
1139,17000
1165,30000
1170,150000
1172,26000
1175,41000
1177,26000
1178,28000
1184,18000
1188,7000
1189,42000
1190,12000
1197,40000
1201,28000
1208,25000
1210,40000
1219,165000
1222,18000
1226,32500
1228,42000
1234,36000
1253,30000
1254,45000
1269,18000
1274,24000
1281,35000
1288,23000
1290,19000
1291,30000
1294,240000
1299,38000
1305,100000
1311,50000
1314,19800
1324,20000
1325,15000
1333,36000
1344,6200
1346,7000
1351,7000
1352,15000
1360,26000
1375,42000
1378,120000
1387,32000
1404,36000
1405,25000
1407,50000
1414,35000
1417,45000
1418,35000
1419,34000
1421,30000
1435,13000
1437,17000
1440,15000
1441,12500
1442,25000
1446,35000
1448,45000
1459,32000
1460,100000
1462,100000
1466,13000
1480,8500
1487,45000
1488,12000
1497,20000
1498,21000
1510,11000
1514,36000
1521,13500
1522,21000
1538,13500
1540,10000
1542,7500
1548,35000
1549,90000
1555,10000
1556,30000
1560,8000
1561,28000
1565,31000
1567,75000
1569,35000
1585,20000
1587,17000
1598,13000
1599,18000
1603,80000
1610,14000
1615,26500
1620,14000
1629,12500
1630,45000
1631,29000
1634,45000
1635,50000
1636,42000
1637,39000
