id,size_sqft,property_type,bedrooms,latitude,longitude,locality,suburb,monthly_rent,metro_dist_km,airport_dist_km,aiims_dist_km,railway_station_dist_km,suburb_locality_count,center_dist_km,log_size,bedrooms_per_100sqft,avg_landmark_dist,property_type_freq,locality_grouped
0,900,Independent Floor,2,28.6723,77.0971,Paschim Vihar,West Delhi,22000,0.8537,13.0649,15.9265,12.5476,39,11.127,6.8024,0.2222,10.598,11151,Paschim Vihar
1,1500,Apartment,1,28.5311,77.2073,Sheikh Sarai,Delhi Central,35000,0.4748,12.2869,3.9634,12.3275,55,11.173,7.3132,0.0667,7.263,5694,Sheikh Sarai
2,2100,Independent Floor,3,28.5731,77.28,New Friends Colony,Delhi South,45000,1.4119,19.2136,7.093,9.5566,51,8.419,7.6497,0.1429,9.319,11151,New Friends Colony
3,200,Independent House,1,28.6328,77.0671,DG 2 Road,Other,14500,0.9483,8.8015,15.5806,15.0495,442,12.715,5.2983,0.5,10.095,861,Other
4,784,Independent Floor,1,28.6518,77.1645,Patel Nagar,Delhi Central,12500,0.6689,13.2783,10.3268,5.6112,55,4.98,6.6644,0.1276,7.471,11151,Patel Nagar
5,270,Independent Floor,1,28.6404,77.1859,Old Rajender Nagar,Delhi Central,13500,0.4615,13.7071,8.4302,3.4057,55,2.799,5.5984,0.3704,6.501,11151,Old Rajender Nagar
6,900,Independent Floor,2,28.5814,77.246,Jangpura,Delhi South,35000,0.6583,16.0563,4.0715,7.1219,51,6.089,6.8024,0.2222,6.977,11151,Jangpura
8,900,Independent Floor,1,28.5673,77.2368,Lajpat Nagar III,Delhi South,33000,0.3671,14.9456,2.8344,8.3937,51,7.327,6.8024,0.1111,6.635,11151,Lajpat Nagar III
9,1800,Independent Floor,3,28.6687,77.1019,Paschim Vihar,West Delhi,35000,1.0998,12.7215,15.3136,11.9889,39,10.591,7.4955,0.1667,10.281,11151,Paschim Vihar
10,600,Independent House,3,28.6972,77.1022,Sector 2 Rohini,Other,14000,2.06,15.8617,17.7536,13.1121,442,12.159,6.3969,0.5,12.197,861,Other
11,500,Independent Floor,2,28.5891,77.3022,New Ashok Nagar,Delhi East,10500,0.0575,21.6177,9.5586,9.876,49,8.659,6.2146,0.4,10.277,11151,New Ashok Nagar
12,451,Independent Floor,1,28.6161,77.2881,Pandav Nagar Main Road,Other,8000,0.8992,21.0282,9.5682,7.1772,442,6.307,6.1115,0.2217,9.668,11151,Other
13,1350,Apartment,3,28.6066,77.2937,mayur vihar phase 1,Delhi East,50000,0.4723,21.2342,9.4846,8.1283,49,7.103,7.2079,0.2222,9.83,5694,mayur vihar phase 1
14,900,Independent Floor,2,28.5666,77.2495,Lajpat Nagar II,Delhi South,26500,0.1199,16.1784,4.0785,8.7918,51,7.729,6.8024,0.2222,7.292,11151,Lajpat Nagar II
16,400,Apartment,1,28.5623,77.2117,Gautam Nagar,Delhi South,21000,0.6014,12.4564,0.6345,8.8457,51,7.695,5.9915,0.25,5.635,5694,Gautam Nagar
18,500,Independent Floor,1,28.496,77.1828,Chattarpur,Delhi South,5000,1.3979,11.6092,8.2261,16.568,51,15.314,6.2146,0.2,9.45,11151,Chattarpur
