id,gas_type
1,4
14,3
16,3
24,3
27,4
33,4
37,4
49,4
58,3
60,3
72,3
79,4
83,4
86,3
89,4
92,3
97,4
104,3
108,3
109,4
116,3
120,3
122,2
125,6
136,2
141,6
145,6
151,6
158,2
161,6
169,6
171,6
173,6
187,6
199,6
200,2
202,2
209,6
211,6
221,6
233,6
240,2
251,4
255,4
257,4
262,3
264,3
267,4
278,3
279,4
286,3
287,4
289,4
295,4
303,4
309,4
325,4
336,3
337,4
338,3
342,3
352,3
353,4
356,3
357,4
363,4
366,3
370,3
373,4
378,3
382,3
385,4
394,3
399,4
413,4
416,3
423,4
431,4
435,4
443,4
444,3
448,3
453,4
461,4
462,3
465,4
475,4
479,4
481,6
496,2
510,2
515,6
521,6
526,2
527,6
535,6
549,6
553,6
556,2
567,6
570,2
579,6
583,6
585,6
601,6
608,2
609,6
624,2
625,6
636,2
639,6
644,2
659,6
668,2
672,2
673,6
681,6
682,2
684,2
686,2
690,2
703,6
705,6
708,2
714,2
718,2
726,2
736,2
740,2
748,2
751,6
755,6
756,2
761,6
764,2
770,2
793,6
814,2
821,6
831,6
837,6
843,1
849,1
854,2
863,1
873,1
878,2
879,1
883,1
884,2
890,2
898,2
900,2
909,1
911,1
913,1
917,1
922,2
926,2
932,2
933,1
938,2
941,1
969,1
974,2
991,1
996,2
1019,1
1021,1
1024,2
1031,1
1032,2
1036,2
1037,1
1042,2
1046,2
1047,1
1048,2
1069,1
1073,1
1079,1
1084,2
1085,1
1095,1
1101,1
1102,2
1127,1
1128,2
1133,1
1146,2
1147,1
1149,1
1154,2
1156,2
1158,2
1161,1
1163,1
1168,2
1172,2
1185,1
1200,2
1201,1
1208,2
1210,2
1213,1
1219,1
1221,1
1224,2
1230,2
1235,1
1241,1
1242,2
1243,1
1244,2
1245,1
1253,1
1254,2
1272,2
1273,1
1280,2
1291,1
1296,2
1309,1
1312,2
1323,1
1326,5
1331,1
1340,5
1342,5
1346,5
1347,1
1348,5
1358,5
1365,1
1368,5
1369,1
1377,1
1386,5
1394,5
1402,5
1406,5
1409,1
1418,5
1427,1
1432,5
1444,2
1446,2
1449,6
1450,2
1451,6
1459,6
1463,6
1467,6
1468,2
1480,2
1482,2
1487,6
1489,6
1490,2
1497,6
1499,6
1520,2
1523,6
1532,2
1534,2
1538,2
1544,2
1545,6
1546,2
1547,6
1562,5
1563,1
1584,5
1592,5
1594,5
1595,1
1616,5
1621,1
1628,5
1631,1
1635,1
1642,5
1650,5
1652,5
1660,5
1673,1
1692,5
1699,1
1706,5
1717,1
1719,1
1724,5
1730,5
1732,5
1734,5
1736,5
1743,1
1745,1
1751,1
1753,1
1755,1
1759,1
1761,1
1767,1
1776,5
1778,5
1785,1
1795,1
1797,1
1812,5
1824,5
1848,5
1850,5
1865,1
1871,1
1879,1
1886,5
1890,5
1893,1
1896,5
1898,5
1899,1
1909,1
1912,5
1918,5
1930,5
1935,1
1937,1
1945,1
1946,5
1953,1
1954,5
1959,1
1965,1
1969,1
1976,5
1980,5
1981,1
1982,5
1984,5
1985,1
1991,1
1994,5
2002,5
2009,1
2018,5
2020,5
2030,5
2034,5
2035,1
2038,5
2047,4
2056,5
2060,5
2062,5
2067,4
2071,4
2081,4
2087,4
2088,5
2097,4
2098,5
2100,5
2101,4
2106,5
2107,4
2113,4
2116,5
2117,4
2120,5
2121,4
2133,4
2140,5
2141,4
2149,4
2153,4
2164,3
2165,6
2170,3
2176,3
2178,3
2180,3
2186,3
2190,3
2195,6
2197,6
2199,6
2201,6
2202,3
2212,3
2222,3
2223,6
2224,3
2227,6
2234,3
2245,6
2259,6
2261,6
2271,6
2283,6
2286,3
2288,3
2289,6
2297,6
2301,6
2302,3
2305,6
2311,6
2320,3
2326,3
2334,3
2339,6
2346,3
2351,6
2352,3
2353,6
2360,3
2373,6
2379,6
2382,3
2384,3
2388,3
2395,6
2396,3
2398,3
2401,1
2404,5
2413,1
2421,1
2422,5
2426,5
2432,5
2439,1
2442,5
2444,5
2445,1
2447,1
2450,5
2454,5
2458,5
2459,1
2469,1
2472,5
2481,1
2484,5
2493,1
2511,1
2514,5
2524,2
2534,2
2536,2
2539,6
2542,2
2546,2
2549,6
2550,2
2558,2
2559,6
2575,6
2582,2
2586,2
2590,2
2598,2
2599,6
2602,2
2603,6
2604,2
2605,6
2608,2
2616,2
2626,2
2628,2
2631,6
2632,2
2635,6
2636,2
2639,6
2646,3
2648,3
2650,3
2663,4
2666,3
2668,3
2674,3
