id,zone_1_power
43776,27089.23077
43777,26701.53846
43778,26375.38462
43779,25963.07692
43780,25593.84615
43781,25113.84615
43782,24849.23077
43783,24572.30769
43784,24338.46154
43785,23920.0
43786,23753.84615
43787,23556.92308
43788,23624.61538
43789,23286.15385
43790,23236.92308
43791,23224.61538
43792,23144.61538
43793,23126.15385
43794,22978.46154
43795,22984.61538
43796,22824.61538
43797,22732.30769
43798,22713.84615
43799,22756.92308
43800,22652.30769
43801,22763.07692
43802,22886.15385
43803,23052.30769
43804,23236.92308
43805,23175.38462
43806,23384.61538
43807,24172.30769
43808,24000.0
43809,23747.69231
43810,23600.0
43811,23507.69231
43812,23021.53846
43813,22221.53846
43814,21335.38462
43815,21144.61538
43816,21440.0
43817,21790.76923
43818,22523.07692
43819,22572.30769
43820,22732.30769
43821,22923.07692
43822,23070.76923
43823,23169.23077
43824,23883.07692
43825,24516.92308
43826,25304.61538
43827,25907.69231
43828,26215.38462
43829,26326.15385
43830,26560.0
43831,26966.15385
43832,27489.23077
43833,27766.15385
43834,29827.69231
43835,29833.84615
43836,30307.69231
43837,30621.53846
43838,30923.07692
43839,31249.23077
43840,31846.15385
43841,32332.30769
43842,32430.76923
43843,32990.76923
43844,33193.84615
43845,33360.0
43846,33329.23077
43847,33267.69231
43848,33335.38462
43849,33526.15385
43850,33550.76923
43851,33655.38462
43852,33193.84615
43853,32547.69231
43854,33747.69231
43855,33304.61538
43856,33335.38462
43857,33236.92308
43858,32461.53846
43859,32381.53846
43860,32560.0
43861,32510.76923
43862,32024.61538
43863,32116.92308
43864,32375.38462
43865,32123.07692
43866,32049.23077
43867,31600.0
43868,31606.15385
43869,31323.07692
43870,31323.07692
43871,30904.61538
43872,31132.30769
43873,31027.69231
43874,31120.0
43875,31070.76923
43876,31150.76923
43877,31212.30769
43878,31698.46154
43879,32701.53846
43880,33729.23077
43881,36116.92308
43882,39335.38462
43883,40449.23077
43884,40670.76923
43885,40553.84615
43886,40461.53846
43887,40307.69231
43888,40227.69231
43889,40375.38462
43890,40129.23077
43891,40270.76923
43892,40110.76923
43893,39766.15385
43894,39680.0
43895,39569.23077
43896,39815.38462
43897,39575.38462
43898,39187.69231
43899,38775.38462
43900,38301.53846
43901,38166.15385
43902,37716.92308
43903,37464.61538
43904,37126.15385
43905,36726.15385
43906,35956.92308
43907,35427.69231
43908,35076.92308
43909,34726.15385
43910,33760.0
43911,32984.61538
43912,32215.38462
43913,31267.69231
43914,30535.38462
43915,30184.61538
43916,29403.07692
43917,28849.23077
43918,28215.38462
43919,27600.0
43920,27150.76923
43921,26886.15385
43922,26203.07692
43923,25704.61538
43924,25323.07692
43925,24916.92308
43926,24609.23077
43927,24443.07692
43928,24153.84615
43929,23956.92308
43930,23864.61538
43931,23575.38462
43932,23366.15385
43933,23169.23077
43934,22744.61538
43935,22676.92308
43936,22695.38462
43937,22523.07692
43938,22504.61538
43939,22578.46154
43940,22387.69231
43941,22393.84615
43942,22387.69231
43943,22381.53846
43944,22424.61538
43945,22381.53846
43946,22621.53846
43947,22769.23077
43948,22910.76923
43949,22818.46154
43950,22923.07692
43951,23747.69231
43952,23889.23077
43953,23458.46154
43954,23267.69231
43955,23236.92308
43956,22984.61538
43957,22184.61538
43958,21070.76923
43959,20756.92308
43960,20806.15385
43961,21163.07692
43962,21753.84615
43963,22246.15385
43964,22332.30769
43965,22529.23077
43966,22363.07692
43967,22467.69231
43968,23249.23077
43969,23889.23077
43970,24196.92308
43971,24996.92308
43972,25593.84615
43973,25335.38462
43974,26603.07692
43975,27021.53846
43976,27612.30769
43977,28067.69231
43978,28172.30769
43979,28313.84615
43980,28418.46154
43981,29083.07692
43982,29360.0
43983,29612.30769
43984,30049.23077
43985,30683.07692
43986,30756.92308
43987,30726.15385
43988,31323.07692
43989,31440.0
43990,31255.38462
43991,31440.0
43992,31390.76923
43993,31827.69231
43994,31760.0
43995,31667.69231
43996,31913.84615
43997,32030.76923
43998,31760.0
43999,31680.0
44000,32246.15385
44001,31809.23077
44002,31969.23077
44003,31950.76923
44004,32055.38462
44005,32258.46154
44006,32030.76923
44007,32043.07692
44008,32012.30769
44009,31784.61538
44010,31987.69231
44011,31852.30769
44012,31796.92308
44013,31913.84615
44014,31815.38462
44015,31249.23077
44016,30929.23077
44017,30978.46154
44018,31003.07692
44019,31501.53846
44020,31587.69231
44021,31396.92308
44022,31938.46154
44023,32769.23077
44024,34123.07692
44025,36203.07692
44026,39126.15385
44027,40123.07692
44028,40246.15385
44029,40326.15385
44030,40344.61538
44031,40332.30769
44032,40043.07692
44033,40209.23077
44034,40030.76923
44035,39944.61538
44036,39889.23077
44037,39550.76923
44038,39113.84615
44039,39089.23077
44040,38990.76923
44041,39280.0
44042,39249.23077
44043,39169.23077
44044,38892.30769
44045,38560.0
44046,38030.76923
44047,37587.69231
44048,37163.07692
44049,36646.15385
44050,35944.61538
44051,35212.30769
44052,35015.38462
44053,34553.84615
44054,33698.46154
44055,33193.84615
44056,32590.76923
44057,31784.61538
44058,30861.53846
44059,30178.46154
44060,29624.61538
44061,28923.07692
44062,28301.53846
44063,27495.38462
44064,26935.38462
44065,26510.76923
44066,25833.84615
44067,25618.46154
44068,25236.92308
44069,24836.92308
44070,24695.38462
44071,24461.53846
44072,23852.30769
44073,23858.46154
44074,23587.69231
44075,23236.92308
44076,23163.07692
44077,23003.07692
44078,22621.53846
44079,22406.15385
44080,22320.0
44081,22412.30769
44082,22307.69231
44083,22024.61538
44084,22110.76923
44085,22147.69231
44086,22203.07692
44087,22196.92308
44088,22098.46154
44089,22129.23077
44090,22227.69231
44091,21950.76923
44092,22030.76923
44093,22116.92308
44094,22344.61538
44095,23212.30769
44096,23163.07692
44097,22953.84615
44098,22873.84615
44099,22683.07692
44100,22443.07692
44101,21415.38462
44102,20553.84615
44103,20270.76923
44104,20529.23077
44105,21101.53846
44106,21661.53846
44107,22240.0
44108,22510.76923
44109,22055.38462
44110,21852.30769
44111,22412.30769
44112,23692.30769
44113,24344.61538
44114,24769.23077
44115,25236.92308
44116,25889.23077
44117,26400.0
44118,27113.84615
44119,26916.92308
44120,27550.76923
44121,27649.23077
44122,27932.30769
44123,27938.46154
44124,31396.92308
44125,31956.92308
44126,32240.0
44127,32535.38462
44128,32695.38462
44129,32904.61538
44130,33181.53846
44131,33070.76923
44132,30486.15385
44133,30627.69231
44134,30806.15385
44135,30578.46154
44136,30036.92308
44137,30043.07692
44138,29760.0
44139,29569.23077
44140,29796.92308
44141,30141.53846
44142,30436.92308
44143,30449.23077
44144,30381.53846
44145,30443.07692
44146,30276.92308
44147,30523.07692
44148,30455.38462
44149,30695.38462
44150,30892.30769
44151,30953.84615
44152,30966.15385
44153,30929.23077
44154,30886.15385
44155,31033.84615
44156,30707.69231
44157,31323.07692
44158,31206.15385
44159,31206.15385
44160,31107.69231
44161,31316.92308
44162,31341.53846
44163,31144.61538
44164,31686.15385
44165,31661.53846
44166,31796.92308
44167,32092.30769
44168,33156.92308
44169,35735.38462
44170,38332.30769
44171,38806.15385
44172,38923.07692
44173,38916.92308
44174,39113.84615
44175,39163.07692
44176,39280.0
44177,39403.07692
44178,38855.38462
44179,38966.15385
44180,39003.07692
44181,38670.76923
44182,38320.0
44183,38467.69231
44184,38400.0
44185,38486.15385
44186,38406.15385
44187,38326.15385
44188,37987.69231
44189,37661.53846
44190,37606.15385
44191,37390.76923
44192,36566.15385
44193,35809.23077
44194,35446.15385
44195,34972.30769
44196,34492.30769
44197,33938.46154
44198,33747.69231
44199,33267.69231
44200,32726.15385
44201,31876.92308
44202,31556.92308
44203,31113.84615
44204,29975.38462
44205,28996.92308
44206,28350.76923
44207,27556.92308
44208,26923.07692
44209,26572.30769
44210,25932.30769
44211,25649.23077
44212,25280.0
44213,24756.92308
44214,24535.38462
44215,24406.15385
44216,24049.23077
44217,23587.69231
44218,23495.38462
44219,23249.23077
44220,22978.46154
44221,22800.0
44222,22818.46154
44223,22627.69231
44224,22535.38462
44225,22516.92308
44226,22240.0
44227,22338.46154
44228,22400.0
44229,22073.84615
44230,21981.53846
44231,22092.30769
44232,22184.61538
44233,21969.23077
44234,22116.92308
44235,22350.76923
44236,22313.84615
44237,22276.92308
44238,22596.92308
44239,22904.61538
44240,23372.30769
44241,23120.0
44242,22923.07692
44243,22867.69231
44244,22313.84615
44245,21667.69231
44246,20843.07692
44247,20350.76923
44248,20067.69231
44249,20203.07692
44250,20670.76923
44251,20806.15385
44252,21421.53846
44253,21661.53846
44254,21729.23077
44255,21956.92308
44256,22750.76923
44257,23606.15385
44258,23840.0
44259,24240.0
44260,24541.53846
44261,24800.0
44262,25550.76923
44263,26135.38462
44264,26553.84615
44265,27489.23077
44266,27901.53846
44267,28676.92308
44268,28843.07692
44269,29193.84615
44270,29544.61538
44271,30006.15385
44272,30172.30769
44273,30467.69231
44274,30849.23077
44275,30793.84615
44276,30843.07692
44277,31058.46154
44278,31630.76923
44279,31538.46154
44280,31901.53846
44281,31926.15385
44282,32049.23077
44283,32178.46154
44284,32030.76923
44285,31858.46154
44286,32123.07692
44287,32713.84615
44288,32898.46154
44289,32215.38462
44290,32067.69231
44291,32043.07692
44292,31784.61538
44293,31680.0
44294,31698.46154
44295,31255.38462
44296,30775.38462
44297,30523.07692
44298,30547.69231
44299,30160.0
44300,30110.76923
44301,30400.0
44302,30295.38462
44303,30061.53846
44304,29932.30769
44305,29926.15385
44306,29932.30769
44307,29901.53846
44308,29858.46154
44309,30276.92308
44310,30603.07692
44311,31396.92308
44312,32800.0
44313,35741.53846
44314,38332.30769
44315,39329.23077
44316,39495.38462
44317,39329.23077
44318,39384.61538
44319,39569.23077
44320,39667.69231
44321,39587.69231
44322,39415.38462
44323,39163.07692
44324,38978.46154
44325,38603.07692
44326,38480.0
44327,38523.07692
44328,38049.23077
44329,37981.53846
44330,37464.61538
44331,37501.53846
44332,37249.23077
44333,36873.84615
44334,36541.53846
44335,36153.84615
44336,35563.07692
44337,35347.69231
44338,34836.92308
44339,34880.0
44340,34929.23077
44341,34978.46154
44342,34689.23077
44343,34092.30769
44344,33956.92308
44345,33384.61538
44346,32412.30769
44347,31593.84615
44348,30960.0
44349,30055.38462
44350,29224.61538
44351,28467.69231
44352,27803.07692
44353,27458.46154
44354,26855.38462
44355,26480.0
44356,25981.53846
44357,25587.69231
44358,25267.69231
44359,24923.07692
44360,24738.46154
44361,24430.76923
44362,23969.23077
44363,23661.53846
44364,23618.46154
44365,23421.53846
44366,23169.23077
44367,23360.0
44368,23003.07692
44369,22738.46154
44370,22584.61538
44371,22590.76923
44372,22609.23077
44373,22504.61538
44374,22203.07692
44375,22258.46154
44376,22221.53846
44377,22098.46154
44378,21950.76923
44379,22307.69231
44380,22510.76923
44381,22658.46154
44382,22615.38462
44383,23046.15385
44384,23267.69231
44385,22818.46154
44386,22596.92308
44387,22295.38462
44388,21723.07692
44389,21003.07692
44390,19686.15385
44391,18947.69231
44392,18603.07692
44393,18633.84615
44394,18609.23077
44395,18960.0
44396,19206.15385
44397,19390.76923
44398,19563.07692
44399,19772.30769
44400,20141.53846
44401,20387.69231
44402,20916.92308
44403,21347.69231
44404,21913.84615
44405,22295.38462
44406,22781.53846
44407,23489.23077
44408,24295.38462
44409,24916.92308
44410,25304.61538
44411,25532.30769
44412,26030.76923
44413,26578.46154
44414,26898.46154
44415,27267.69231
44416,27636.92308
44417,28067.69231
44418,28295.38462
44419,28443.07692
44420,28375.38462
44421,28689.23077
44422,28867.69231
44423,29058.46154
44424,28861.53846
44425,29378.46154
44426,29667.69231
44427,29649.23077
44428,29938.46154
44429,29858.46154
44430,29790.76923
44431,29360.0
44432,29483.07692
44433,29458.46154
44434,29064.61538
44435,29009.23077
44436,28763.07692
44437,28720.0
44438,28867.69231
44439,28652.30769
44440,27476.92308
44441,26966.15385
44442,26818.46154
44443,26664.61538
44444,25323.07692
44445,25292.30769
44446,25981.53846
44447,25852.30769
44448,25630.76923
44449,26141.53846
44450,26750.76923
44451,26689.23077
44452,26621.53846
44453,26572.30769
44454,27089.23077
44455,28049.23077
44456,29347.69231
44457,32030.76923
44458,35033.84615
44459,35956.92308
44460,36338.46154
44461,36560.0
44462,36529.23077
44463,36486.15385
44464,36830.76923
44465,36824.61538
44466,36516.92308
44467,36596.92308
44468,36584.61538
44469,36578.46154
44470,36553.84615
44471,36676.92308
44472,36676.92308
44473,36800.0
44474,36553.84615
44475,36276.92308
44476,36381.53846
44477,36412.30769
44478,35913.84615
44479,35470.76923
44480,34818.46154
44481,34596.92308
44482,34240.0
44483,34184.61538
44484,34240.0
44485,33895.38462
44486,33415.38462
44487,32800.0
44488,32240.0
44489,31643.07692
44490,30886.15385
44491,30516.92308
44492,29316.92308
44493,28455.38462
44494,27803.07692
44495,27440.0
44496,26898.46154
44497,26670.76923
44498,26012.30769
44499,25655.38462
44500,25415.38462
44501,25009.23077
44502,24584.61538
44503,24215.38462
44504,23883.07692
44505,23538.46154
44506,23249.23077
44507,23027.69231
44508,22713.84615
44509,22449.23077
44510,21981.53846
44511,22036.92308
44512,21803.07692
44513,21956.92308
44514,21895.38462
44515,21950.76923
44516,21920.0
44517,21815.38462
44518,21661.53846
44519,21815.38462
44520,21526.15385
44521,21569.23077
44522,21600.0
44523,21550.76923
44524,21723.07692
44525,21784.61538
44526,21950.76923
44527,22480.0
44528,22775.38462
44529,22584.61538
44530,22160.0
44531,21569.23077
44532,21206.15385
44533,20430.76923
44534,19723.07692
44535,18972.30769
44536,18806.15385
44537,18726.15385
44538,18904.61538
44539,19144.61538
44540,19083.07692
44541,19329.23077
44542,19550.76923
44543,19938.46154
44544,20215.38462
44545,20676.92308
44546,21612.30769
44547,22338.46154
44548,22683.07692
44549,23040.0
44550,23692.30769
44551,24276.92308
44552,24640.0
44553,25052.30769
44554,25741.53846
44555,26529.23077
44556,27200.0
44557,27489.23077
44558,28135.38462
44559,29070.76923
44560,29495.38462
44561,29513.84615
44562,29920.0
44563,30387.69231
44564,30326.15385
44565,30455.38462
44566,30596.92308
44567,30615.38462
44568,30412.30769
44569,30609.23077
44570,30898.46154
44571,31163.07692
44572,31329.23077
44573,31255.38462
44574,31544.61538
44575,31452.30769
44576,31427.69231
44577,31316.92308
44578,31187.69231
44579,30750.76923
44580,30646.15385
44581,30818.46154
44582,30461.53846
44583,30369.23077
44584,30332.30769
44585,30276.92308
44586,30240.0
44587,29938.46154
44588,29815.38462
44589,29704.61538
44590,29532.30769
44591,29433.84615
44592,29249.23077
44593,29286.15385
44594,29396.92308
44595,29323.07692
44596,29372.30769
44597,29704.61538
44598,30627.69231
44599,31280.0
44600,32886.15385
44601,35624.61538
44602,38049.23077
44603,38916.92308
44604,39446.15385
44605,39661.53846
44606,39556.92308
44607,39513.84615
44608,39483.07692
44609,39390.76923
44610,39193.84615
44611,39230.76923
44612,39181.53846
44613,39003.07692
44614,39009.23077
44615,39212.30769
44616,39353.84615
44617,39243.07692
44618,38972.30769
44619,38627.69231
44620,38233.84615
44621,38135.38462
44622,37760.0
44623,37353.84615
44624,36861.53846
44625,36492.30769
44626,36018.46154
44627,35458.46154
44628,34547.69231
44629,33981.53846
44630,33304.61538
44631,32153.84615
44632,32006.15385
44633,31464.61538
44634,30430.76923
44635,29661.53846
44636,28775.38462
44637,28264.61538
44638,27876.92308
44639,27175.38462
44640,26492.30769
44641,26086.15385
44642,25563.07692
44643,24929.23077
44644,24880.0
44645,24449.23077
44646,24344.61538
44647,24227.69231
44648,23993.84615
44649,23723.07692
44650,23446.15385
44651,23261.53846
44652,22960.0
44653,22800.0
44654,22572.30769
44655,22449.23077
44656,22184.61538
44657,21753.84615
44658,21772.30769
44659,21772.30769
44660,21741.53846
44661,21895.38462
44662,21969.23077
44663,22024.61538
44664,22006.15385
44665,21575.38462
44666,21796.92308
44667,21920.0
44668,22055.38462
44669,22252.30769
44670,22350.76923
44671,22880.0
44672,23298.46154
44673,23046.15385
44674,22646.15385
44675,22584.61538
44676,22375.38462
44677,22043.07692
44678,21280.0
44679,20695.38462
44680,20658.46154
44681,20849.23077
44682,21550.76923
44683,22024.61538
44684,22246.15385
44685,22024.61538
44686,22227.69231
44687,22227.69231
44688,23661.53846
44689,23963.07692
44690,24356.92308
44691,24763.07692
44692,25304.61538
44693,25852.30769
44694,26658.46154
44695,27021.53846
44696,27335.38462
44697,27655.38462
44698,28135.38462
44699,28498.46154
44700,28455.38462
44701,28880.0
44702,29556.92308
44703,29790.76923
44704,30104.61538
44705,30258.46154
44706,30516.92308
44707,30916.92308
44708,31058.46154
44709,31255.38462
44710,31686.15385
44711,31612.30769
44712,31403.07692
44713,31827.69231
44714,32166.15385
44715,32258.46154
44716,32264.61538
44717,32172.30769
44718,31926.15385
44719,31901.53846
44720,32000.0
44721,31963.07692
44722,30664.61538
44723,30978.46154
44724,31649.23077
44725,31784.61538
44726,31575.38462
44727,31310.76923
44728,31600.0
44729,31421.53846
44730,31003.07692
44731,30824.61538
44732,30775.38462
44733,30923.07692
44734,30695.38462
44735,30375.38462
44736,30283.07692
44737,30781.53846
44738,30621.53846
44739,30763.07692
44740,31052.30769
44741,31113.84615
44742,31470.76923
44743,32190.76923
44744,33753.84615
44745,36769.23077
44746,39169.23077
44747,39803.07692
44748,39846.15385
44749,39753.84615
44750,39944.61538
44751,40055.38462
44752,40024.61538
44753,40147.69231
44754,39895.38462
44755,39840.0
44756,39532.30769
44757,39440.0
44758,39255.38462
44759,39003.07692
44760,38880.0
44761,39273.84615
44762,39243.07692
44763,38941.53846
44764,38720.0
44765,38270.76923
44766,37520.0
44767,36978.46154
44768,36560.0
44769,36086.15385
44770,35735.38462
44771,35107.69231
44772,34473.84615
44773,34276.92308
44774,33550.76923
44775,32443.07692
44776,31796.92308
44777,31156.92308
44778,30264.61538
44779,29556.92308
44780,28929.23077
44781,28455.38462
44782,27901.53846
44783,27138.46154
44784,26566.15385
44785,25963.07692
44786,25643.07692
44787,25261.53846
44788,24775.38462
44789,24313.84615
44790,24055.38462
44791,23766.15385
44792,23366.15385
44793,23083.07692
44794,22972.30769
44795,22806.15385
44796,22615.38462
44797,22529.23077
44798,22486.15385
44799,22436.92308
44800,22061.53846
44801,22153.84615
44802,21963.07692
44803,21796.92308
44804,21446.15385
44805,21532.30769
44806,21378.46154
44807,21544.61538
44808,21532.30769
44809,21495.38462
44810,21606.15385
44811,21612.30769
44812,21858.46154
44813,22110.76923
44814,22190.76923
44815,22523.07692
44816,23212.30769
44817,22953.84615
44818,22910.76923
44819,22523.07692
44820,22541.53846
44821,22036.92308
44822,21261.53846
44823,20547.69231
44824,20418.46154
44825,20787.69231
44826,21495.38462
44827,22073.84615
44828,22246.15385
44829,22160.0
44830,22313.84615
44831,22326.15385
44832,23446.15385
44833,24252.30769
44834,24880.0
44835,25304.61538
44836,25766.15385
44837,25920.0
44838,26541.53846
44839,26793.84615
44840,27021.53846
44841,27507.69231
44842,27913.84615
44843,28486.15385
44844,27249.23077
44845,27661.53846
44846,27624.61538
44847,27901.53846
44848,28110.76923
44849,28344.61538
44850,29070.76923
44851,29396.92308
44852,29686.15385
44853,29864.61538
44854,29833.84615
44855,29993.84615
44856,29735.38462
44857,29803.07692
44858,29741.53846
44859,31384.61538
44860,31969.23077
44861,31821.53846
44862,32240.0
44863,32209.23077
44864,32018.46154
44865,31815.38462
44866,31390.76923
44867,31095.38462
44868,30800.0
44869,30929.23077
44870,30886.15385
44871,31273.84615
44872,31163.07692
44873,31396.92308
44874,31329.23077
44875,30843.07692
44876,30621.53846
44877,30633.84615
44878,30418.46154
44879,30116.92308
44880,30240.0
44881,30676.92308
44882,30510.76923
44883,30652.30769
44884,30800.0
44885,31156.92308
44886,31464.61538
44887,32190.76923
44888,34049.23077
44889,37058.46154
44890,39353.84615
44891,39846.15385
44892,39913.84615
44893,40049.23077
44894,40086.15385
44895,39864.61538
44896,39907.69231
44897,39760.0
44898,39600.0
44899,39600.0
44900,39304.61538
44901,39169.23077
44902,38781.53846
44903,38523.07692
44904,38560.0
44905,38812.30769
44906,38683.07692
44907,38449.23077
44908,38098.46154
44909,37520.0
44910,37329.23077
44911,36793.84615
44912,36135.38462
44913,35563.07692
44914,35144.61538
44915,34750.76923
44916,34221.53846
44917,33772.30769
44918,33206.15385
44919,32953.84615
44920,31950.76923
44921,30867.69231
44922,30172.30769
44923,29452.30769
44924,28898.46154
44925,28209.23077
44926,27673.84615
44927,27021.53846
44928,26455.38462
44929,25581.53846
44930,25132.30769
44931,24910.76923
44932,24560.0
44933,24320.0
44934,24135.38462
44935,23833.84615
44936,23446.15385
44937,23070.76923
44938,22910.76923
44939,22695.38462
44940,22627.69231
44941,22406.15385
44942,22430.76923
44943,22369.23077
44944,22252.30769
44945,22160.0
44946,21969.23077
44947,21833.84615
