id,quality
2,6
11,5
13,4
19,6
38,7
40,5
42,4
46,6
48,3
50,5
53,5
58,7
60,6
70,5
75,7
82,4
91,5
95,4
107,5
110,5
114,4
116,4
120,6
121,5
127,5
129,7
138,5
139,8
143,5
144,5
148,6
154,4
158,7
174,6
176,5
182,4
188,7
199,6
201,4
204,5
210,6
214,6
215,5
216,6
218,4
220,6
221,5
227,4
230,5
233,6
234,4
245,5
263,8
265,5
267,4
275,4
277,5
281,6
297,5
307,4
317,6
318,5
321,6
331,6
348,5
356,5
369,5
372,3
377,8
379,6
382,6
386,5
387,7
388,6
389,6
390,6
406,5
408,6
414,5
417,6
422,6
428,7
444,6
467,5
474,5
478,5
482,7
491,5
497,6
508,6
511,7
513,7
523,3
526,6
534,3
537,5
539,6
541,5
542,5
547,5
556,5
558,5
568,6
571,8
573,5
578,5
580,6
582,4
585,5
599,5
605,4
607,6
609,8
612,6
619,5
622,7
630,6
632,4
637,5
639,6
648,5
658,5
659,5
666,4
667,6
668,7
679,4
684,5
693,4
705,6
706,8
707,5
708,6
720,6
723,4
737,5
738,5
751,6
753,7
760,7
762,4
773,7
781,4
784,7
787,8
794,6
799,5
801,7
809,6
814,6
818,5
829,4
830,5
834,6
841,6
854,6
872,6
877,6
878,5
881,4
882,4
883,6
896,4
897,4
905,5
906,6
910,7
916,6
926,6
928,4
930,5
932,7
935,4
939,4
952,4
961,6
964,7
965,4
971,7
974,7
975,5
977,5
981,4
982,4
983,3
990,6
992,4
999,7
1014,5
1026,6
1033,7
1045,7
1046,5
1061,6
1066,6
1069,5
1077,5
1080,5
1086,6
1089,6
1102,7
1103,4
1106,7
1111,5
1113,6
1114,7
1116,6
1122,5
1128,6
1129,6
1132,5
1137,5
1139,6
1154,4
1162,6
1170,8
1174,4
1186,5
1190,6
1192,5
1194,7
1205,4
1208,6
1210,6
1215,4
1220,5
1222,6
1224,8
1228,5
1233,7
1239,7
1247,4
1248,5
1256,6
1261,4
1263,5
1266,6
1268,6
1279,3
1280,5
1289,6
1290,5
1292,5
1295,3
1301,4
1303,7
1304,5
1308,7
1310,6
1322,7
1329,7
1333,5
1337,6
1355,6
1357,6
1361,5
1364,6
1367,7
1369,4
1374,6
1381,3
1389,5
1393,6
1399,7
1403,7
