id,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,wine_type,quality
1,7.2,0.26,0.6,0.6,0.03,34,209,0.9953,3.08,0.28,9.2,white,3
3,6.0,0.45,0.32,1.7,0.079,17,154,0.9908,3.05,0.52,10.1,white,5
4,7.2,0.21,0.33,3.7,0.042,37,75,0.9956,3.25,0.64,10.3,white,6
5,8.2,0.28,0.23,15.7,0.042,31,131,0.9953,3.11,0.73,10.9,white,5
6,7.8,0.15,0.21,2.1,0.155,9,93,0.9952,3.39,0.7,11.9,red,8
7,5.9,0.26,0.46,23.6,0.075,46,161,0.9911,3.15,0.59,10.9,white,5
8,6.8,0.12,0.45,3.4,0.154,51,218,0.9901,3.1,0.61,11.8,white,7
9,11.9,0.33,0.13,1.3,0.036,36,37,0.9993,3.23,0.7,10.5,red,6
10,8.0,0.31,0.5,5.0,0.068,27,148,0.9879,3.37,0.36,10.3,white,6
12,6.2,0.44,0.0,12.7,0.012,15,159,1.0,3.2,0.46,10.1,white,4
14,7.9,0.14,0.16,3.2,0.106,3,64,0.9931,3.34,0.89,11.1,red,8
15,7.0,0.53,0.04,2.8,0.087,12,50,0.9973,3.31,0.53,10.9,red,5
16,8.1,0.29,0.43,7.5,0.062,57,128,0.9993,3.52,0.59,9.1,white,6
17,6.5,0.5,0.21,0.9,0.149,38,6,0.9965,3.33,0.62,11.0,red,7
18,6.4,0.16,0.56,3.9,0.053,36,63,0.9965,3.52,0.45,10.2,white,6
20,5.9,0.43,0.09,1.4,0.054,54,147,0.9945,3.0,0.52,9.9,white,4
21,8.0,0.2,0.34,6.5,0.032,67,148,0.9948,3.13,0.58,10.9,white,6
22,6.4,0.21,0.14,5.6,0.087,28,196,0.9945,3.14,0.43,10.0,white,4
23,6.2,0.16,0.14,2.5,0.009,39,170,0.9954,3.39,0.71,10.1,white,6
24,6.1,0.17,0.5,2.0,0.049,41,178,0.9945,3.08,0.42,9.5,white,6
25,5.3,0.33,0.43,12.8,0.019,13,174,0.9921,3.17,0.58,8.0,white,4
26,5.2,0.3,0.2,1.3,0.093,55,71,0.987,3.07,0.65,11.1,white,6
27,6.0,0.25,0.12,6.4,0.123,30,166,0.9944,3.5,0.44,11.9,white,7
28,7.5,0.38,0.42,2.5,0.055,19,120,0.9982,3.36,0.65,11.1,white,7
29,6.5,0.51,0.14,5.3,0.084,16,56,1.0015,3.16,0.67,12.7,red,6
30,7.6,0.52,0.25,6.6,0.1,4,6,0.9963,3.27,0.77,9.0,red,4
31,6.6,0.57,0.06,6.9,0.104,4,27,0.9964,3.23,0.86,11.7,red,6
32,7.6,0.14,0.41,6.6,0.067,24,70,0.9968,2.77,0.42,9.6,white,6
33,6.7,0.33,0.26,1.4,0.088,1,61,1.0021,3.17,0.51,11.4,red,6
34,6.8,0.36,0.25,2.5,0.03,46,141,0.9917,3.37,0.53,10.8,white,4
35,6.1,1.08,0.53,2.1,0.11,11,80,0.9975,3.47,0.71,10.6,red,4
36,7.7,0.17,0.39,6.2,0.128,41,79,0.9958,3.23,0.66,9.3,white,6
37,8.0,0.69,0.14,8.2,0.012,1,47,1.0004,3.45,0.77,9.2,red,5
39,6.7,0.15,0.54,30.6,0.027,14,177,0.9976,3.29,0.48,11.3,white,7
41,7.7,0.16,0.49,2.7,0.095,59,161,0.9952,3.21,0.5,8.7,white,5
43,7.0,0.11,0.39,1.3,0.009,55,130,0.996,3.24,0.65,11.9,white,6
44,7.8,0.29,0.35,3.7,0.009,42,87,0.9944,3.35,0.37,10.1,white,7
45,11.5,0.61,0.07,3.2,0.018,11,22,0.9935,3.3,0.73,11.2,red,6
47,7.7,0.36,0.23,1.2,0.011,56,153,0.9926,3.39,0.39,10.3,white,5
49,7.3,0.41,0.35,4.3,0.046,19,8,0.9946,3.3,0.59,9.8,red,5
51,7.4,0.85,0.18,2.8,0.061,6,108,0.9962,3.35,0.52,9.6,red,4
52,5.8,0.29,0.33,1.7,0.047,33,6,0.9967,3.5,0.71,10.1,red,6
54,10.3,0.73,0.0,1.1,0.136,17,41,0.9966,3.06,0.68,12.4,red,6
55,7.8,0.36,0.23,11.9,0.009,37,155,0.9935,3.27,0.51,8.0,white,4
56,5.7,0.34,0.31,2.7,0.058,33,173,0.9917,2.95,0.28,10.1,white,4
57,10.1,0.81,0.14,4.1,0.06,68,37,0.9948,3.54,0.45,11.3,red,5
59,5.6,0.21,0.43,18.6,0.028,67,134,0.9916,3.28,0.48,11.4,white,6
61,6.9,0.31,0.29,8.8,0.009,31,149,0.999,3.38,0.55,10.6,white,5
62,7.0,0.34,0.39,0.6,0.009,28,106,0.9958,3.63,0.55,10.1,white,6
63,9.8,0.52,0.23,2.1,0.088,3,6,0.9962,3.08,0.54,9.7,red,5
64,6.3,0.32,0.16,6.6,0.142,37,144,0.9959,3.26,0.5,11.6,white,5
65,8.3,0.16,0.36,2.7,0.026,53,98,0.9916,3.12,0.54,9.4,white,5
66,6.1,0.25,0.46,11.3,0.041,13,94,0.9927,3.0,0.64,9.9,white,6
67,5.8,0.69,0.3,4.8,0.074,13,33,0.993,3.14,0.46,8.8,red,3
68,7.3,0.41,0.28,3.8,0.009,23,145,0.9951,3.2,0.55,9.9,white,4
69,6.7,0.25,0.58,3.1,0.018,50,95,0.9943,3.22,0.58,10.6,white,6
71,4.8,0.29,0.36,0.6,0.224,64,166,0.9914,3.07,0.54,10.9,white,4
72,11.0,0.7,0.45,4.5,0.109,3,61,0.9957,3.76,0.88,11.8,red,7
73,5.9,0.32,0.42,1.4,0.028,69,193,1.0002,2.92,0.39,11.6,white,5
74,6.4,0.28,0.29,19.1,0.009,19,72,0.9953,3.12,0.42,12.0,white,6
76,9.9,0.25,0.25,2.3,0.018,46,213,0.9963,3.27,0.37,10.3,white,4
77,7.9,0.08,0.29,7.8,0.009,51,148,0.995,3.14,0.32,10.7,white,5
78,6.6,0.32,0.27,3.9,0.051,20,71,0.998,2.98,0.54,9.5,white,6
79,7.2,0.21,0.35,9.3,0.04,4,185,0.9927,3.16,0.75,10.6,white,6
80,7.1,0.28,0.36,0.8,0.067,27,190,0.9914,3.09,0.5,8.8,white,4
81,9.3,0.37,0.01,2.2,0.012,9,61,0.9976,3.33,0.79,11.6,red,7
83,8.5,0.43,0.61,4.8,0.142,23,27,0.9959,3.16,0.7,8.9,red,6
84,7.2,0.26,0.16,1.4,0.016,12,80,0.9981,3.21,0.37,11.8,white,5
